content,score,at,clean_no_stem,clean_stem,skor_base,label_base,skor_domain,label_domain,label,split
bagus gamenya ga ngebosenin apalagi setiap ganti season pasti ada hero baru dan meta baru,5,2026-07-27 07:39:36,bagus gamenya tidak ngebosenin ganti season hero baru meta baru,bagus gamenya tidak ngebosenin ganti season hero baru meta baru,-7.0,Negatif,-2.0,Negatif,Negatif,train
game nya bagus saya suka memainkan nya saat ada waktu luang🤩🤩,5,2026-07-27 07:39:10,game nya bagus suka memainkan nya waktu luang emoji_positif emoji_positif,game nya bagus suka main nya waktu luang emoji_positif emoji_positif,1.0,Positif,6.0,Positif,Positif,test
mines nya gk bisa ngeceat,4,2026-07-27 07:36:21,mines nya tidak ngeceat,mes nya tidak ngeceat,-5.0,Negatif,-5.0,Negatif,Negatif,test
bagus grmnya seru lagi,5,2026-07-27 07:36:10,bagus grmnya seru,bagus grmnya seru,-2.0,Negatif,6.0,Positif,Positif,train
ML GAME NYA SERU BANGET DAN RANK AKU UDAH IMMORTAL,5,2026-07-27 07:35:56,ml game nya seru banget rank aku udah immortal,ml game nya seru banget rank aku udah immortal,4.0,Positif,7.0,Positif,Positif,test
gemnyabagus,5,2026-07-27 07:34:43,gemnyabagus,gemnyabagus,0.0,Positif,0.0,Positif,Positif,train
"sdh brkli"" sy hps download tp akhirnya download lg wkwk perbaiki lg match dan ping 🙄",1,2026-07-27 07:34:27,sdh brkli hps download akhirnya download lg wkwk perbaiki lg match ping emoji_negatif,sdh brkli hps download akhir download lg wkwk baik lg match ping emoji_negatif,0.0,Negatif,0.0,Negatif,Negatif,test
"GAME APAAN INI ANEH BANGET, JELEK",1,2026-07-27 07:33:11,game apaan aneh banget jelek,game apa aneh banget jelek,-6.0,Negatif,-6.0,Negatif,Negatif,train
sangat bagus dan enak main nya,5,2026-07-27 07:33:05,sangat bagus enak main nya,sangat bagus enak main nya,-3.0,Negatif,4.0,Positif,Positif,test
"WOY MOONTON, MASALAH SERVER MASIH ADA, GW MAU PUSH RANK JADI SUSAH, NGE LAG TERUS, PADAHAL DEKET WIFI, MAU WIFI GW SENDIRI, ATAU PUN WIFI TEMEN, TETEP NGE LAG, PADAHAL PAKE APLIKASI LAIN GAK NGELAG",2,2026-07-27 07:30:10,woy moonton masalah server mau push rank jadi susah nge lag terus padahal deket wifi mau wifi sendiri wifi temen tetep nge lag padahal pake aplikasi tidak ngelag,woy moonton masalah server mau push rank jadi susah nge lag terus padahal deket wifi mau wifi sendiri wifi temen tetep nge lag padahal pake aplikasi tidak ngelag,-11.0,Negatif,-14.0,Negatif,Negatif,train
jir main gme in gua lost trek muluu jir susah bngt dpet tim bgus jirr,1,2026-07-27 07:28:52,jir main gme in lost trek muluu jir susah banget dpet tim bgus jirr,jir main gme in lost trek muluu jir susah banget dpet tim bgus jirr,-18.0,Negatif,-18.0,Negatif,Negatif,train
kasih aku tim spek onic dong wkwk,5,2026-07-27 07:28:14,kasih aku tim spek onic dong wkwk,kasih aku tim spek onic dong wkwk,-2.0,Negatif,-2.0,Negatif,Negatif,train
"game gajelas🤬, sinyal bagus bgt tiba' ngelag bgt, game error, playernya pada kaya binatang semua, udh salah pada gangaku slh, game stres",1,2026-07-27 07:25:45,game gajelas sinyal bagus banget tiba ngelag banget game error playernya kaya binatang semua salah gangaku slh game stres emoji_negatif,game gajelas sinyal bagus banget tiba ngelag banget game error playernya kaya binatang semua salah gangaku slh game stres emoji_negatif,-10.0,Negatif,-5.0,Negatif,Negatif,train
akun saya hilang,1,2026-07-27 07:23:55,akun hilang,akun hilang,-1.0,Negatif,-1.0,Negatif,Negatif,test
gak adil cok selalu dapat tim aneh giliran musuh jago kali,1,2026-07-27 07:23:33,tidak adil cok selalu tim aneh giliran musuh jago kali,tidak adil cok selalu tim aneh gilir musuh jago kali,-8.0,Negatif,-8.0,Negatif,Negatif,test
👍,5,2026-07-27 07:23:08,emoji_positif,emoji_positif,0.0,Positif,0.0,Positif,Positif,train
"game ini sangat bagus,menemaniku selama 1 th terahir ini.... tapi masih banyak player yg GK Reti main (draksistem) itu menghambat pus rank ku..",5,2026-07-27 07:22:46,game sangat bagus menemaniku selama th terahir banyak player tidak reti main draksistem menghambat pus rank ku,game sangat bagus teman lama th terahir banyak player tidak ret main draksistem hambat pus rank ku,-10.0,Negatif,-5.0,Negatif,Negatif,train
"seru sih, tapi untuk lawan musuh nya harus yg adil dan seimbang",1,2026-07-27 07:22:28,seru sih lawan musuh nya adil seimbang,seru sih lawan musuh nya adil imbang,-6.0,Negatif,-3.0,Negatif,Negatif,train
matchmaking lu kayak sampah . udah win streak malah di kasi tim yang udah jelas2 afk 3 match,1,2026-07-27 07:20:47,matchmaking kamu kayak sampah udah win streak malah kasi tim udah jelas afk match,matchmaking kamu kayak sampah udah win streak malah kasi tim udah jelas afk match,-16.0,Negatif,-18.0,Negatif,Negatif,train
"kocak moonton , gua pemain solo di kasih teman yang isinya dark sistem mulu 😅 saatnya beralih game sebelah males pihak moonton gak jelas 🤣",1,2026-07-27 07:19:36,kocak moonton pemain solo kasih teman isinya dark sistem mulu saatnya beralih game sebelah males pihak moonton tidak jelas emoji_netral emoji_netral,kocak moonton main solo kasih teman isi dark sistem mulu saat alih game belah males pihak moonton tidak jelas emoji_netral emoji_netral,-20.0,Negatif,-20.0,Negatif,Negatif,train
buat kau monton gk tim itu bagus dong kasih permainan yang imbang . tim gua lol semuanya tadi musuh jago jago yang bener dong ngasih tim nya,5,2026-07-27 07:16:46,buat kau moonton tidak tim bagus dong kasih permainan imbang tim lol semuanya tadi musuh jago jago bener dong ngasih tim nya,buat kau moonton tidak tim bagus dong kasih main imbang tim lol semua tadi musuh jago jago bener dong ngasih tim nya,-8.0,Negatif,-3.0,Negatif,Negatif,test
banyak citer dan banyak bug masalah jaringan juga padahal buka apk lain gada masalah,1,2026-07-27 07:16:32,banyak cheater banyak bug masalah jaringan padahal buka apk gada masalah,banyak cheater banyak bug masalah jaring padahal buka apk gada masalah,-9.0,Negatif,-15.0,Negatif,Negatif,train
game oraa waras stres asuu,1,2026-07-27 07:15:23,game oraa waras stres asuu,game oraa waras stres asuu,-3.0,Negatif,-3.0,Negatif,Negatif,train
game rusak sangat tidak rekomen hanya untuk orang yang,1,2026-07-27 07:14:40,game rusak sangat tidak rekomen orang,game rusak sangat tidak rekomen orang,-6.0,Negatif,-6.0,Negatif,Negatif,train
game tolong ya keknya slalu dapat tim tim gj setiap main hah capek ga worthith ni game,1,2026-07-27 07:11:03,game keknya slalu tim tim gj main hah capek tidak worthith ni game,game kek slalu tim tim gj main hah capek tidak worthith ni game,-9.0,Negatif,-9.0,Negatif,Negatif,train
"Saya kecewa dengan sistem bantuan pelanggan Moonton. Proses pemulihan dan pergantian email akun saya sebelumnya sudah berhasil, tetapi saya masih mengalami masalah saat login. Saat mencoba mendapatkan bantuan lagi, sistem justru mengarahkan saya ke proses Pemulihan Akun yang sama tanpa memberikan pilihan lain yang sesuai. Mohon berikan solusi untuk masalah login saya, bukan mengarahkan saya kembali ke proses yang sudah berhasil dilakukan.",1,2026-07-27 07:10:55,kecewa sistem bantuan pelanggan moonton proses pemulihan pergantian email akun sebelumnya berhasil mengalami masalah login mencoba mendapatkan bantuan sistem justru mengarahkan proses pemulihan akun sama tanpa memberikan pilihan sesuai mohon berikan solusi masalah login bukan mengarahkan proses berhasil dilakukan,kecewa sistem bantu langgan moonton proses pulih ganti email akun belum hasil alami masalah login coba dapat bantu sistem justru arah proses pulih akun sama tanpa beri pilih sesuai mohon ikan solusi masalah login bukan arah proses hasil laku,8.0,Positif,8.0,Positif,Positif,test
sangat menghiburrr tp terlalu besar updatenya,5,2026-07-27 07:09:21,sangat menghiburr terlalu besar updatenya,sangat menghiburr terlalu besar updatenya,-3.0,Negatif,-3.0,Negatif,Negatif,train
woi montonbalikin chat gua,1,2026-07-27 07:03:49,woi montonbalikin chat,woi montonbalikin chat,3.0,Positif,3.0,Positif,Positif,train
"mohon maaf moonton tolong ini kok makin kesini banyak yg pake cheat lag, mohon lebih dipantau lagi dong ini pasti bikin gak adil dan kesel",1,2026-07-27 07:00:51,mohon maaf moonton kok makin kesini banyak pake cheat lag mohon lebih dipantau dong bikin tidak adil kesel,mohon maaf moonton kok makin kesini banyak pake cheat lag mohon lebih pantau dong bikin tidak adil kesel,-7.0,Negatif,-10.0,Negatif,Negatif,train
seru sekaliii,5,2026-07-27 07:00:45,seru sekalii,seru sekali,0.0,Positif,3.0,Positif,Positif,train
suka bangett,5,2026-07-27 06:59:41,suka bangett,suka bangett,0.0,Positif,0.0,Positif,Positif,train
Game nya bagus gak suka ngeleg dan ada main offline bagus banget,5,2026-07-27 06:59:02,game nya bagus tidak suka ngeleg main offline bagus banget,game nya bagus tidak suka ngeleg main offline bagus banget,-8.0,Negatif,2.0,Positif,Positif,train
"Slow response for Kimmy+Estes cheater, we already reported. its Free for Kimmy+Estes chetaer, for push rank.",1,2026-07-27 06:58:19,slow response for kimmy estes cheater we already reported its free for kimmy estes chetaer for push rank,slow response for kimmy estes cheater we already reported its free for kimmy estes chetaer for push rank,4.0,Positif,0.0,Negatif,Negatif,train
game aneh dipaksa gendong para bocil..,1,2026-07-27 06:56:51,game aneh dipaksa gendong bocil,game aneh paksa gendong bocil,-2.0,Negatif,-2.0,Negatif,Negatif,test
Tolong tambahin mode nya bosen main rank .kasih mode yg paling susah,5,2026-07-27 06:56:41,tambahin mode nya bosen main rank kasih mode paling susah,tambahin mode nya bosen main rank kasih mode paling susah,-6.0,Negatif,-6.0,Negatif,Negatif,train
memberi tim yang tidak seimbang,1,2026-07-27 06:54:49,memberi tim tidak seimbang,beri tim tidak imbang,-9.0,Negatif,-9.0,Negatif,Negatif,train
gamenya seru dan aku juga suka grafiknyaa,5,2026-07-27 06:54:02,gamenya seru aku suka grafiknyaa,gamenya seru aku suka grafiknyaa,3.0,Positif,6.0,Positif,Positif,test
kamu kenapaa muntun muntun mentang mentang saya jarang main dikasih menang kalah Mulu muntun kocak,5,2026-07-27 06:53:29,kamu kenapaa moonton moonton mentang mentang jarang main dikasih menang kalah mulu moonton kocak,kamu kenapaa moonton moonton mentang mentang jarang main kasih menang kalah mulu moonton kocak,-10.0,Negatif,-6.0,Negatif,Negatif,test
gara ngasih tim gajelas minimal ngasih tim yang betul kek kasih lawan yang imbang minimal ngasih lawan jangan susah susah lah kalo tim musuh jago giliran tim kita dikasih bot mainnya gak jelas kayak masih di reng elit lo padahal kan sudah epik makanya kasih tip yang bagus kek makanya aku kasih rengking satu kar jengkel kesel gajelas setiap aku main tim kadang mainnya bagus kadang gajelas setiap keyemu jungel pasti gak dapet lord kadang dapet pokoknya gejelas lah pokoknya kasih tim yang imbang,1,2026-07-27 06:52:59,gara ngasih tim gajelas minimal ngasih tim betul kek kasih lawan imbang minimal ngasih lawan jangan susah susah lah kalau tim musuh jago giliran tim dikasih bot mainnya tidak jelas kayak reng elit kamu padahal kan epik makanya kasih tip bagus kek makanya aku kasih rengking satu kar jengkel kesel gajelas aku main tim kadang mainnya bagus kadang gajelas keyemu jungel tidak dapet lord kadang dapet pokoknya gejelas lah pokoknya kasih tim imbang,gara ngasih tim gajelas minimal ngasih tim betul kek kasih lawan imbang minimal ngasih lawan jangan susah susah lah kalau tim musuh jago gilir tim kasih bot main tidak jelas kayak reng elit kamu padahal kan epik makanya kasih tip bagus kek makanya aku kasih rengking satu kar jengkel kesel gajelas aku main tim kadang main bagus kadang gajelas keyemu jungel tidak dapet lord kadang dapet pokok gejelas lah pokok kasih tim imbang,-55.0,Negatif,-45.0,Negatif,Negatif,train
masa rank gw stuck epik trs,1,2026-07-27 06:52:36,masa rank stuck epik terus,masa rank stuck epik terus,0.0,Negatif,0.0,Negatif,Negatif,train
Susah nak naik mythic immortal.rank legend tapi lawan dengan musuh mythic glory Susah betul,2,2026-07-27 06:52:04,susah nak naik mythic immortal rank legend lawan musuh mythic glory susah betul,susah nak naik mythic immortal rank legend lawan musuh mythic glory susah betul,-14.0,Negatif,-14.0,Negatif,Negatif,test
Janggan kasih gua ls lagi yaa,5,2026-07-27 06:51:41,janggan kasih losestreak yaa,janggan kasih losestreak yaa,1.0,Positif,1.0,Positif,Positif,test
geme gak ada gunanya gak adil,1,2026-07-27 06:51:24,geme tidak gunanya tidak adil,geme tidak guna tidak adil,-11.0,Negatif,-11.0,Negatif,Negatif,train
Ngeleg banget anj,1,2026-07-27 06:50:56,ngeleg banget anj,ngeleg banget anj,1.0,Positif,1.0,Positif,Positif,test
boss MONTON TOLONG SKIN KARINA DI ADAIIN YG PAKE DIAMOND PLISS YG DI ATAS 500 DIAMOND,5,2026-07-27 06:42:24,boss moonton skin karina adaiin pake diamond pliss atas diamond,boss moonton skin karina adaiin pake diamond pliss atas diamond,2.0,Positif,2.0,Positif,Positif,train
nggak bisa beri penilaian masak udah ngepush dapet coklat kocak tim Ama musuh nggak seimbang kocak benerin,1,2026-07-27 06:40:41,tidak beri penilaian masak udah ngepush dapet coklat kocak tim ama musuh tidak seimbang kocak benerin,tidak beri nilai masak udah ngepush dapet coklat kocak tim ama musuh tidak imbang kocak benerin,-20.0,Negatif,-20.0,Negatif,Negatif,train
"saya suka game ini jika saya kesepian saya selalu mainkan game ini, walaupun ngeleq sedikit tapi saya suka kepada game ini, dan saya suka hero lylia",5,2026-07-27 06:40:33,suka game kesepian selalu mainkan game walaupun ngeleq sedikit suka game suka hero lylia,suka game sepi selalu main game walaupun ngeleq sedikit suka game suka hero lylia,4.0,Positif,4.0,Positif,Positif,train
gemnya membuat aku kalah mulu di claccic di rank di brawel kalh mulu capek aku nama {[®=raihan=®]},1,2026-07-27 06:38:41,gemnya membuat aku kalah mulu claccic rank brawel kalh mulu capek aku nama raihan emoji_lain emoji_lain,gemnya buat aku kalah mulu claccic rank brawel kalh mulu capek aku nama raih emoji_lain emoji_lain,3.0,Positif,3.0,Positif,Positif,train
good,5,2026-07-27 06:38:39,good,good,5.0,Positif,5.0,Positif,Positif,train
Moonton tolong perbaiki lah supaya sinyal nya ga leg terus padahal d tempat saya sinyal nya bagus cuman pas main ML doang legg,5,2026-07-27 06:35:19,moonton perbaiki lah sinyal nya tidak leg terus padahal d tempat sinyal nya bagus cuman pas main ml doang legg,moonton baik lah sinyal nya tidak leg terus padahal d tempat sinyal nya bagus cuman pas main ml doang legg,-7.0,Negatif,-2.0,Negatif,Negatif,train
"sorry ml, mungkin ente telah mengisi banyak waktu luang ane tapi coba buat yang lebih mendidik, bukan yang mendatangkan emosi",1,2026-07-27 06:34:28,sorry ml mungkin ente mengisi banyak waktu luang ane coba buat lebih mendidik bukan mendatangkan emosi,sorry ml mungkin ente isi banyak waktu luang ane coba buat lebih didik bukan datang emosi,-2.0,Negatif,-2.0,Negatif,Negatif,train
tolong server ny di perbaiki lagi dong masa gw dh di dalam game tapi pas tiba tiba hp nya relog gw di lobby Mulu hal hasil afk trus menerus lama lama nih game makin ga seru,1,2026-07-27 06:33:36,server ny perbaiki dong masa dh game pas tiba tiba handphone nya relog lobby mulu hasil afk trus menerus lama lama nih game makin tidak seru,server ny baik dong masa dh game pas tiba tiba handphone nya relog lobby mulu hasil afk trus terus lama lama nih game makin tidak seru,0.0,Negatif,-5.0,Negatif,Negatif,train
game apalah baru mau naik rank sebagai solo player tpi dikasih tim beban terimakasih sekali moonton,1,2026-07-27 06:33:25,game apalah baru mau naik rank solo player tpi dikasih tim beban terimakasih sekali moonton,game apa baru mau naik rank solo player tpi kasih tim beban terimakasih sekali moonton,4.0,Positif,4.0,Positif,Positif,train
ya walaupun sering di kasih dark sistem game ini tetap the best sih menurut ku karena ga bisa buat berpaling ke game lain,5,2026-07-27 06:32:15,walaupun sering kasih dark sistem game tetap the best sih ku tidak buat berpaling game,walaupun sering kasih dark sistem game tetap the best sih ku tidak buat paling game,1.0,Positif,1.0,Positif,Positif,train
"saya waktu ingin memulihkan akun moonton yang lupa email sama pasword kok gagal terus ya? padahal sudah saya isi bukti topup dan lain lain dengan benar,tolong diperbaiki baru saya kasih bintang 5",1,2026-07-27 06:29:01,waktu memulihkan akun moonton lupa email sama pasword kok gagal terus padahal isi bukti topup benar diperbaiki baru kasih bintang,waktu pulih akun moonton lupa email sama pasword kok gagal terus padahal isi bukti topup benar baik baru kasih bintang,-10.0,Negatif,-10.0,Negatif,Negatif,train
game nya banyak dark sistem anj,1,2026-07-27 06:26:46,game nya banyak dark sistem anj,game nya banyak dark sistem anj,-2.0,Negatif,-2.0,Negatif,Negatif,train
GAME RUSAK. DIKIT DIKIT NGEBUG. SKIN ELITE SISTEM SULIT CUIH. game busuk,1,2026-07-27 06:24:10,game rusak dikit dikit ngebug skin elite sistem sulit cuih game busuk,game rusak dikit dikit ngebug skin elite sistem sulit cuih game busuk,-9.0,Negatif,-9.0,Negatif,Negatif,train
moonton tolong kasih menang gua,1,2026-07-27 06:23:57,moonton kasih menang,moonton kasih menang,0.0,Negatif,4.0,Positif,Positif,test
karena game nya seru,5,2026-07-27 06:23:12,game nya seru,game nya seru,2.0,Positif,5.0,Positif,Positif,train
"game kok isinya darksystem semua, mending gw uninstall, KECEWA",1,2026-07-27 06:19:17,game kok isinya darksystem semua mending uninstall kecewa,game kok isi darksystem semua mending uninstall kecewa,-2.0,Negatif,-2.0,Negatif,Negatif,train
game gj..katanya 5vs5..nyatanya 1vs9,1,2026-07-27 06:15:44,game gj katanya vs nyatanya vs,game gj kata vs nyata vs,1.0,Positif,1.0,Positif,Positif,train
Most people who really don't intend to play actually troll,1,2026-07-27 06:14:12,most people who really don t intend to play actually troll,most people who really don t intend to play actually troll,0.0,Negatif,-3.0,Negatif,Negatif,train
GAME BURUK SANGAT TIDAK REKOMENDASIKAN GAME INI SANGAT BURUK,1,2026-07-27 06:11:01,game buruk sangat tidak rekomendasikan game sangat buruk,game buruk sangat tidak rekomendasi game sangat buruk,-15.0,Negatif,-15.0,Negatif,Negatif,train
SERUUUUUUUUUUUUUUUUU!!!!!!!!! BANGETTTT!!!!,5,2026-07-27 06:09:44,seruu bangett,seruu bangett,-2.0,Negatif,-2.0,Negatif,Negatif,train
"jahat banget plis, ngasih tim sama musuh bot yg ga adil ny tuh bot di musuh jago sedangkan di tim kek gajelas banget, aku ngestuck di legend gara"" itu, tolong dong di benerin aku udh main bnr tapi wlwl terus gara"" itu, bikin stres jujur🥹",1,2026-07-27 06:09:19,jahat banget plis ngasih tim sama musuh bot tidak adil ny tuh bot musuh jago tim kek gajelas banget aku ngestuck legend gara dong benerin aku main bnr wlwl terus gara bikin stres jujur emoji_lain,jahat banget plis ngasih tim sama musuh bot tidak adil ny tuh bot musuh jago tim kek gajelas banget aku ngestuck legend gara dong benerin aku main bnr wlwl terus gara bikin stres jujur emoji_lain,-28.0,Negatif,-28.0,Negatif,Negatif,test
muntun bagi bagi dm😭😭😭,5,2026-07-27 06:08:34,moonton dm emoji_negatif emoji_negatif emoji_negatif,moonton dm emoji_negatif emoji_negatif emoji_negatif,0.0,Positif,0.0,Positif,Positif,train
sangat bagus geme ini tolong kasih dm 1000 iya,5,2026-07-27 06:07:00,sangat bagus geme kasih dm iya,sangat bagus geme kasih dm iya,-3.0,Negatif,2.0,Positif,Positif,train
"game gak jelas gua main 3jam naik kagak turun kagak, cuman bikin stress game ini tolong monton kasih gua tim yang waras ngpa giliran musuh tim nya jago² stress lama² main game ini",1,2026-07-27 06:06:07,game tidak jelas main jam naik kagak turun kagak cuman bikin stress game moonton kasih tim waras ngpa giliran musuh tim nya jago stress lama main game,game tidak jelas main jam naik kagak turun kagak cuman bikin stress game moonton kasih tim waras ngpa gilir musuh tim nya jago stress lama main game,-24.0,Negatif,-24.0,Negatif,Negatif,train
bug jaringannya min plis tolong help mohon,4,2026-07-27 06:02:39,bug jaringannya min plis help mohon,bug jaring min plis help mohon,2.0,Positif,0.0,Positif,Positif,train
game yang seru,5,2026-07-27 06:01:24,game seru,game seru,2.0,Positif,5.0,Positif,Positif,train
Game gila kana drk sistem muluu Nth apalah,1,2026-07-27 05:58:11,game gila kana drk sistem muluu nth apalah,game gila kana drk sistem muluu nth apa,-10.0,Negatif,-10.0,Negatif,Negatif,train
"dapat tim selalu jelek setiap solo rank, match making aneh, tdk kasih sanksi ke orang ngetrol, ngelag parah sudah pake kuota juga sama saja, uninstal sja capek",1,2026-07-27 05:58:03,tim selalu jelek solo rank match making aneh tdk kasih sanksi orang ngetrol ngelag parah pake kuota sama uninstal sja capek,tim selalu jelek solo rank match making aneh tdk kasih sanksi orang ngetrol ngelag parah pake kuota sama uninstal sja capek,-10.0,Negatif,-13.0,Negatif,Negatif,train
bagus sekali,1,2026-07-27 05:57:10,bagus sekali,bagus sekali,-3.0,Negatif,2.0,Positif,Positif,test
seru,5,2026-07-27 05:55:48,seru,seru,0.0,Positif,3.0,Positif,Positif,train
"Please, perbaiki bug singal, masa internet lancar main suka merah-merah",4,2026-07-27 05:55:08,please perbaiki bug singal masa internet lancar main suka merah merah,please baik bug singal masa internet lancar main suka merah merah,3.0,Positif,1.0,Positif,Positif,train
