content,score,at
"KALAU MAU CARI KESENANGAN ,SARAN JANGAN DOWNLOAD NI GAME, SISTEMNY TERGOBLOK YANG PERNAH KU TEMUI DIANTARA SEMUA GAME ,",1,2026-07-27 05:36:24
Jika masih ada cheater bintang ini gak akan berubah,1,2026-07-27 05:35:54
gem burik bayank derak sistem sama kutukan bintang,1,2026-07-27 05:35:15
game ini sangat bagus tapi bisa kah kembalikan argus yang dulu,5,2026-07-27 05:32:56
game bagus,5,2026-07-27 05:27:28
kasih teman random yg sesuai dikit jgan bot semua,4,2026-07-27 05:24:46
berat bgt..,2,2026-07-27 05:23:15
"akun gak pernah pake cheat malah di ban dengan tuduhan cheat, game gak jelas",1,2026-07-27 05:22:21
"kenapa setiap saya bermain exp saya selalu bertemu tim anak anak baik dan tidak bisa main, tolong doang sedikit adil apalagi untuk solo player seperti saya, sama ping hijau tapi tidak bisa gerak itu sangat merugikan tim.",1,2026-07-27 05:22:05
"emng moonton ini ,masa sinyal hijau tapi dilay,permainan sistem hah lagu lama",1,2026-07-27 05:20:59
tambah isi waktu selagi jenuh... biar ada hiburan,5,2026-07-27 05:18:38
game nya jelek bikin anak anak gila jadi jngn instal ini game,1,2026-07-27 05:17:47
"sistem ranknya ga adil poll, udah kalah beberapa kali sama tim musuh yg lebih enak sinerginya, menang cuman dikasih sekali habis itu dikalahin terus, gimana mau naik ranknya kalo gini terus?",1,2026-07-27 05:16:22
tolong lh monton coba kasihh tim ituu bagusss sekali GK usah ada yg dark sistem,1,2026-07-27 05:16:02
game rusak gak bisa main solo ketemu drak sistem coba yang adill moontoon,1,2026-07-27 05:13:37
"game seimbang dari mananya,kenapa setim gua selalu org yang baru maen atau bocil,dan lawan gua selalu orang"" yang jago,selalu gua mvp sedangkan teman gua coklat silver",1,2026-07-27 05:13:21
"jujur main di Mobile legends bikin stress aja, tim yang berat sebelah, lose streak mulu",1,2026-07-27 05:11:27
apalah iya game nya bagus tapi minimal keseimbangan match nya di perbaiki setiap main ketemu tim yg tolol tapi musuh nya jago2 aneh,1,2026-07-27 05:10:44
Montoon mending hapus game ini aja gak guna dapetnya tim ngetrol mulu game kan harusnya bikin kita jadi releks ini malah bikin nambah pusing hapus aja gamenya montoon,1,2026-07-27 05:09:41
"game rusak masa lagi main hp saya ngk sengaja mati saat login ulang masih aja ngestuck di lobby, udh lebih dari 5 lebih saya ngalamin hal bodoh ini, update doang gede bug aja masih banyak yg ngk hilang",1,2026-07-27 05:08:42
game gk jelas musuh pro tim beban memang aneh game aneh burik pulak gk guna gw yg gendong tim gw padahal rank mereka lebih besar dari pada gw akhirnya y kalah lah game aneh,1,2026-07-27 05:07:09
game nya bagus bangat aku sangat suka dengan game ml ini,5,2026-07-27 05:04:28
bagus banget kalo gabut aku udah jago 👍👍👍,5,2026-07-27 05:04:09
aplikasi nya keren,5,2026-07-27 05:04:05
saya menyukai ni gem tapi hapuskan draksistem,5,2026-07-27 04:59:47
Jangan pernah memainkan game ini. Semoga game ini di Boikot dari Play Store. Semoga game ini di Hapus dari Play Store.,1,2026-07-27 04:58:56
"Ahhh, bagus, tapi kok kamving... Wkwkkwk",4,2026-07-27 04:57:47
gem asu,1,2026-07-27 04:57:34
game stres ntar win ntar deveat ga jelas team gw selalu cupu ga setara sama team musuh yg sana rank nya udh pada tinggi tinggi yg disini baru GM ga jelas lah,1,2026-07-27 04:56:10
banyak dark sistem di high rank sangat tidak adil dalam matcmaking,3,2026-07-27 04:51:30
game nya seru.,5,2026-07-27 04:50:38
banyak keluhan player tidak di dengar.para penjoki harusnya di tindak tegas.sebab karena mereka game jadi rusak banyak akun hasil joki yang kda dan winrate tidak sesuai dengan gameplay di match making,1,2026-07-27 04:50:33
terlalu banyak tutorial,1,2026-07-27 04:48:10
game hewan menggonggong macth making nya gj gak seimbang perbaiki lagi macth making nya ama server nya juga ngelag padahal sinyal lancar,5,2026-07-27 04:46:08
udah imo belum,5,2026-07-27 04:46:07
👍,5,2026-07-27 04:41:59
game burik grapik sters,1,2026-07-27 04:40:54
"selalu dibikin kalah pas di moment krusial, ga jelas ni game. ga enak buat solo player yang selalu dapet tim ga kompak",1,2026-07-27 04:36:36
mantap,5,2026-07-27 04:36:29
ml hargai player solo kasik tim yg jelas bukan yg trol capek bodo,2,2026-07-27 04:34:40
untuk pemilihan role yang sangat buruk harus nya 1 role bukan 2 role neresahkan sangat meresahkan untuk penjuang solo,1,2026-07-27 04:29:01
karena kalau ngasih lawan tidak seimbang jadi bikin rugi bintang dan bikin stres/bikin emosi saya istirahat mau main game malah jadi stres,1,2026-07-27 04:26:38
bagus,4,2026-07-27 04:23:29
tidak menyenangkan,1,2026-07-27 04:23:23
kembali kan ulti argus yng dulu sekarang ulti nya sangat singkat tidak masuk akal untuk team fight mohon diperbaiki ku uninstal kalau masih tidak diperbaiki,1,2026-07-27 04:21:14
bagus,5,2026-07-27 04:14:45
"Mach macking nya buruk, main solo ketemu trio bot semua, main rank glory/imo dapet tim trio ada legend nya, beban pula... mending kalok dapet tim bot musuhnya bot juga, ini dapet tim bot musuh jago² ... real enak pindah game sebelah",2,2026-07-27 04:07:56
Sungguh Tidak Adill Ping jaringan Legs,1,2026-07-27 04:07:25
"plis moonton, tolong ubah slot afinitas lover jadi 5, aku ga puas karna lovernya cuma bisa 1",1,2026-07-27 04:04:11
saya bertemu dg bot terus menerus sehingga saya ls,3,2026-07-27 04:03:37
game ML bagus. 👉🏻,5,2026-07-27 03:55:55
GAME SAMPAH. DI KASIH TIM JELEK TERUSSSSSSS.. GAME TERBURUK SE ASIA,1,2026-07-27 03:55:14
sinyal udah bagus masih aja ngelag apasih moonton ini,1,2026-07-27 03:52:06
game nya seru kadang bisa bikin kesal tapi kalau main sama teman seru banget,5,2026-07-27 03:49:18
permainannya seru banget tapi grapik nya agak burik,5,2026-07-27 03:49:11
mantap hero baru dan diamon gratis nya min,5,2026-07-27 03:48:50
Saya terkagum dgn game ini tapi hp saya saat main ini berat dan lag sekali akhirnya saya ada hp baru,5,2026-07-27 03:35:18
game ini seru untuk menghibur saya tetapi bikin saya stress doang karena ketemu tim yang darksistem Mulu 🗿🗿 monton ny pilih kasih jadinya gw kasih bintang 5 aja biar gk ada yang ejek gw lagi saat main ml lagi,5,2026-07-27 03:26:34
Tim ny kek anjng,1,2026-07-27 03:26:07
"server benerin dululah ,game nya dah bagus tapi server buruk percuma juga, sepanjang game sinyal merah mana pas kalah ga ada perlindungan jaringan buruk, padahal pas di lobby hijau lancar, kedepan nya moga bisa diperbaiki",2,2026-07-27 03:23:43
game aneh dapet tim gak guna semua,1,2026-07-27 03:22:01
matchmaking sangat tidak adil. player solo di pertemukan dengan player duo dan player trio sehingga kurang nya informasi strategi dengan satu tim karena player duo dan trio tersebut menggunakan fitur mic lobby sehingga yang player solo tidak bisa mengakses informasi dari mereka. semoga hal seperti ini harus di perhatikan dan tidak dicampur antara player solo dan player duo ataupun player trio,1,2026-07-27 03:18:29
Saya kasih bintang 3 dulu. Tolong di baca ulasan saya! Dark sistem di ml sudah terlalu banyak tolong di beri sanksi ataupun hukuman jika saya melaporkan player tersebut karna sangat merugikan saya. Tolong di bereskan masalah matcmaking yang tidak adil!!!,3,2026-07-27 03:17:30
Ini jaringan data bagus tapi ko mala ngelag delay gitu gimana ya? tolong dong perbaikin ngerugiin bangt,1,2026-07-27 03:15:32
minus sinyal tolong ya monton perbaiki sinyal game nya sebener nya bagus minus sinyal,3,2026-07-27 03:13:41
suka bngt,5,2026-07-27 03:12:51
"Moonton, Hari ini adalah perpisahan kita. sekarang aku sudah tidak bermain lagi karena di season ini banyak sekali pemain bot lawan pemain jago, kenapa setiap aku main dikasih tim yang gak jago, dark sistem, dan lain sebagainya. sekarang aku waktu nya menjadi dewasa. suatu hari nanti kita akan ketemu lagi. see you mobile legend😁😙",4,2026-07-27 03:12:49
like it,5,2026-07-27 03:09:10
jaringan ping jlek,1,2026-07-27 03:08:41
mobile legend by koontol ini sistem play match nya udah ngga ketolong,1,2026-07-27 03:05:58
parah match nya ga sesuai masa di kasih tim gajelas terus.,1,2026-07-27 03:00:56
"Kalo masalah title itu semisal otomatis naik tirun gimana ,, maksutnya jangan nunggu 1 minggu sekali baru dirubah 🙏🙏🙏",5,2026-07-27 02:58:52
"game mantab, sangat bermanfaat, banyak sekali mahluk baik di sini, dan playernya sangat ramah dan baik hati, suka mengaji, dan suka mendoakan orang tua, game ini sangat saya rekomendasikan",1,2026-07-27 02:51:56
kalo ngasih tim itu yang adil,2,2026-07-27 02:50:05
seru bet ini gim monton lebih seru kalo dapet Hero geratis hehehe,5,2026-07-27 02:47:23
"game rusak sistem erorr match meking aneh rank legen ketemu mitik glory , trio ketemu solo dan duo ketemu solo , solo ketemu solo lah duo baru bisa ketemu trio",1,2026-07-27 02:46:54
tingalkan aja game gak bener ini,1,2026-07-27 02:39:43
"game ga jelas, sistemnya harus di perbaiki , ini ketemu legen 3 mabar sama mawi ketemu",1,2026-07-27 02:37:34
game nya sangat seru,5,2026-07-27 02:30:12
it's bad apk,1,2026-07-27 02:30:03
saya suka game seru,5,2026-07-27 02:22:09
gem seru tapi mungkin cuman tim aja yg gek setara tim kita bot tim musuh pro tapi kadang kadang,4,2026-07-27 02:18:34
Bagus,5,2026-07-27 02:16:11
kasih saya mitik monton sdh saya kasih bintang 5 ini,5,2026-07-27 02:07:44
geme seru tapi kalo sekali main malah ketemu tim yang gak bisa main gitu banyak drak sistem nya.,1,2026-07-27 02:07:10
bintang satu karena sistem jaringan yang tidak kompeten dan paling fatalnya sistem moonton melakukan pukul rata gak bisa bedain mana player afk dengan sengaja maupun murni karena ganguan,1,2026-07-27 02:05:39
"game bot , moonton tolong lah kasih team itu yg agak genah sikit . 5 bintang gw hangus jumpa team GK jelas !!! team bot semua yg di kasih, malahan jumpa lawan yg kompak + main nya agak mendingan. bukan ngilangin suntuk main game ML ini jadi tambah stresss kalau jumpa bot di team sendiri.",1,2026-07-27 02:03:18
malas,1,2026-07-27 02:01:42
bagus si tapi bikin otak panas. ketemu tim bot,5,2026-07-27 02:01:13
game Nye bagus dan seru monton plisss beri saya winstreak sampe imortal,1,2026-07-27 01:57:28
tim nya drak sistem bodo,1,2026-07-27 01:47:58
kode redem dari HP infinix masa ada kadaluarsa nya 👎,1,2026-07-27 01:47:51
game tolol sistem draft lu perbaikin dapet tim bego tapi musuh sekelas penjoki,1,2026-07-27 01:46:43
good jop,5,2026-07-27 01:33:06
"kagura legend masukin magic wheel aja, bosen setiap keluar legend limit mulu, lagian legend limit terlalu murah",5,2026-07-27 01:28:36
"game apaan.....kenyamanan player nggak pernah diperhatikan,cuma collab2 terus,matchmaking makin GK jelas,WR tinggi ketemu player busuk,1k match lebih 1 tim sama yg pertandingannya baru 100.game gak jelas,cuman mentingin cuan doang.gk heran kalo rating nya jelek,emang pantas game kayak gini di beri rate serendah ini.udah komplain di in game,sama aja,komplain berpuluh2 kali nggak digubris sama sekali.ping nggak stabil,server 4 digit 1 tim sama server 6 digit,emang rusak nih game.SADAR DIRI MOONTON",1,2026-07-27 01:21:09
jenis seru banget dan aku suka banget kalau lagi gabut aku suka banget sama game nya😀💓,5,2026-07-27 01:20:53
DIBIKIN KALAH MULUUU DEHHHH😠😠😠😠😠,1,2026-07-27 01:16:00
1. Bot sialan 2. Lagi War malam ngeleh 3. Moonton Perlu Banyak Evaluasi,1,2026-07-27 01:15:57
bagus,5,2026-07-27 01:12:36
kasih aku skinnya yang terbaru dong,5,2026-07-27 00:56:05
"parah banget ya keamanan akun moontoon masak tiba2 kena hack. hati2 buat yg bikin akun moontoon pake email pribadi yg utama, aplikasi ini berbahaya",1,2026-07-27 00:52:30
banyak dark system,1,2026-07-27 00:35:12
"gua kasih bintang satu karena ini game banyak bug sistem,bayangin wifi gua lancar tapi pas ke in game gabisa gerak sama sekali ping nya merah tolong lah benerin gimana player nya mau nyaman kalo game nya banyak bug kayak gini bikin emosi aja,emang lo sanggup tanggung dosa manusia yang marah marah gara gara sistem game lu ga bener",1,2026-07-27 00:29:01
balikin survival mode please,4,2026-07-27 00:28:07
"Bpk ML Tolong dong moonton perbaiki system draft pick sekarang susah Buat player solo rank dipaksa harus hero tertentu jadi sulit milih hero Utama ga Kaya Dulu. Bukan bermaksud troll atau apa, Cuma style player berbeda apalagi solo rank susah banget sekarang Buat menang kayak setiap match harus mabar ga jadi flexibility main ML Kaya dulu udah hilang. Klo player yg sering afk di match tindakan lanjut sendiri lah Dari admin moonton jgn merubah system dulu sekarang jd sulit banget buat solo rank",2,2026-07-27 00:24:37
Karena game ml sangat menyenangkan,5,2026-07-27 00:23:41
banyak dark system moonton game mu rusakk banyak orang dark system,1,2026-07-27 00:19:26
"game nya jelek bgt, jaringan ku pdhl fine² aja tapi pas di loading screen nya malah tiba² ngelag sendiri. Mohon diperbaiki lagi, bintang 1.",1,2026-07-27 00:19:16
🤬🤬,1,2026-07-27 00:16:47
"mobile legend setingan,, Jagan pernah download aplikasi ini merugikan cuma mainan tipu2,,,ga ada untungnya main game ini dia jelek",1,2026-07-27 00:12:24
semenjak di beli arap kenapa sangat beda makin sulit ya kebanyakan bot. gk wajar oi masa dr legen 1 kalah trus terusan gk ada menang nya sampe turun ke epik 1 lagi di kasih bot semua.,1,2026-07-27 00:05:46
saya menyukai nya,5,2026-07-27 00:03:30
game hama ga jelas,1,2026-07-27 00:00:27
game kuda poni samping salon aja buat males gua main ini bintang satu aja game ini sampai dulu,1,2026-07-26 23:55:40
matchmaking g imbang,1,2026-07-26 23:52:49
"Teruntuk Moonton, saya punya saran yaitu mohon nerf item healer, kenapa? Saya merasa sangat dirugikan ketika bermain bukannya menemukan roam yang siap maju dan hadapi pertempuran malah ketemu roam support yang tidak objektif penuh dalam memenuhi role, ga pernah rotasi, stay di satu lane, terus nyalahin orang lain. tolonggg!!!!! nerf item heal biar peminat roam support tipis, sebagai user exp kek pesannya k.",1,2026-07-26 23:51:43
"SERVER LAG, FIX DONG, UDAH MAU SEMINGGUAN MASI LAG, UDAH COBA PAKE VPN JUGA SAMA AJA, LAG LAG JUGA",2,2026-07-26 23:50:35
game dengan pemain yang begitu ramah,5,2026-07-26 23:49:52
bagus,5,2026-07-26 23:45:09
4 bintang untuk game ini karna banyak yang toxic,4,2026-07-26 23:41:37
"YG BENER AJA MOONTON MASA GUA KETEMU SAMA PAKISTAN LITERALLY BEDA SERVER,DAN MEREKA PADA NGELAG",1,2026-07-26 23:40:41
game cacat !! bnyakk dark sistem ktl !!,1,2026-07-26 23:28:04
"gini ya! gua user support Estes,ngetroll juga gapernah! se ekor Estes terkena report (mengganggu rekan),kek WHAT DA HAIL!? abis spawn sepatu selalu roamer! skill 1&3 ya cuma buat buff health point, skill 2 buat ngasih debuff slow ke musuh! bisa-bisanya ituloh gw di report (mengganggu rekan)! kecuali disini saya pakai Franco emang bisa buat troll temen sendiri! lah ini tuh posisinya gw pakai Estes! coba pikir dimana logisnya? kalo dirusuh pas early si Jungler jg gw mesti bantu! kocak bet dah!",1,2026-07-26 23:21:48
woi lu dendam sama gua? cape gua di kasih team drak sistem mulu,1,2026-07-26 23:19:23
bagus,5,2026-07-26 22:56:04
"bagus, tapi jangan untuk game penghilang stres, dan jangan juga main lebih dari 2x dalam sehari",3,2026-07-26 22:47:59
hey moonton akuu main kok lag. se server semua lag gimana to moonton ngantuk kh . woy yg lihat ini jangan main jam 5:15 nanti lag parah sumpah ini aku harus keluar gm kerana servernya ngelag,1,2026-07-26 22:39:56
"muntun gantenk servernya benerin dlu donk, MASA DIKIT DIKIT SERVERNYA DOWN SI, jeleg",1,2026-07-26 22:39:44
